COGNOME;COMUNE;descrizione_carica
LUCCHINI;ACQUI TERME;Sindaco
MIGHETTI;ACQUI TERME;Vicesindaco
MONTELLI;ACQUI TERME;Assessore
OSELIN;ACQUI TERME;Assessore
ROLANDO;ACQUI TERME;Assessore
SASSO;ACQUI TERME;Assessore
LOVOTTI;ALBERA LIGURE;Sindaco
GAZZOLI;ALBERA LIGURE;Vicesindaco
LOVOTTI;ALBERA LIGURE;Assessore
ABONANTE;ALESSANDRIA;Sindaco
BARRERA;ALESSANDRIA;Vicesindaco
BERRONE;ALESSANDRIA;Assessore
CORNARA;ALESSANDRIA;Assessore
FALLETI;ALESSANDRIA;Assessore
LAGUZZI;ALESSANDRIA;Assessore
MAZZONI;ALESSANDRIA;Assessore
ONETO;ALESSANDRIA;Assessore
PERRONE;ALESSANDRIA;Assessore
SERRA;ALESSANDRIA;Assessore
ZEGLIO;ALFIANO NATTA;Sindaco
MORRA;ALFIANO NATTA;Vicesindaco
COSSETA;ALFIANO NATTA;Assessore
MARTINO;ALICE BEL COLLE;Sindaco
GASTI;ALICE BEL COLLE;Assessore
ROFFREDO;ALICE BEL COLLE;Assessore
BETTI;ALLUVIONI PIOVERA;Sindaco
GILARDENGHI;ALLUVIONI PIOVERA;Vicesindaco
POMPEI;ALLUVIONI PIOVERA;Assessore
ARROBBIO;ALTAVILLA MONFERRATO;Sindaco
MELLANA;ALTAVILLA MONFERRATO;Vicesindaco
FINOTTO;ALTAVILLA MONFERRATO;Assessore
GUAGNINI;ALZANO SCRIVIA;Sindaco
CISI;ALZANO SCRIVIA;Vicesindaco
RAMUNDO;ALZANO SCRIVIA;Assessore
BASSO;ARQUATA SCRIVIA;Sindaco
CUCINELLA;ARQUATA SCRIVIA;Vicesindaco
BENVENUTO;ARQUATA SCRIVIA;Assessore
DEBENEDETTI;ARQUATA SCRIVIA;Assessore
SPINETO;ARQUATA SCRIVIA;Assessore
GRAGNOLATI;AVOLASCA;Sindaco
BAGNASCO;AVOLASCA;Vicesindaco
PRATO;AVOLASCA;Assessore
TORRIANO;BALZOLA;Sindaco
GRAZIOTTO;BALZOLA;Assessore
PERUZZI;BALZOLA;Assessore
LUDOVICI;BASALUZZO;Sindaco
DEMICHELI;BASALUZZO;Vicesindaco
ROTONDI;BASALUZZO;Assessore
VISCHI;BASSIGNANA;Sindaco
GARAVELLI;BASSIGNANA;Assessore
PANI;BASSIGNANA;Assessore
INCERPI;BELFORTE MONFERRATO;Sindaco
RAVERA;BELFORTE MONFERRATO;Vicesindaco
RAVERA;BELFORTE MONFERRATO;Assessore
VEGGI;BERGAMASCO;Sindaco
TESTA;BERGAMASCO;Vicesindaco
BARBERIS;BERGAMASCO;Assessore
RAVIOLO;BERZANO DI TORTONA;Sindaco
PAVIONE;BERZANO DI TORTONA;Vicesindaco
BONADEO;BERZANO DI TORTONA;Assessore
VALLEGRA;BISTAGNO;Sindaco
BALDOVINO;BISTAGNO;Assessore
BLENGIO;BISTAGNO;Assessore
BUSSALINO;BORGHETTO DI BORBERA;Sindaco
SAPORITO;BORGHETTO DI BORBERA;Vicesindaco
CHIAPUZZO;BORGHETTO DI BORBERA;Assessore
BIGOTTI;BORGORATTO ALESSANDRINO;Sindaco
BARBERIS;BORGORATTO ALESSANDRINO;Assessore
ODDONE;BORGORATTO ALESSANDRINO;Assessore
ZAVATTARO;BORGO SAN MARTINO;Sindaco
CALOROSO;BORGO SAN MARTINO;Vicesindaco
LETTIERI;BORGO SAN MARTINO;Assessore
GAZZANIGA;BOSCO MARENGO;Sindaco
BITTOLO;BOSCO MARENGO;Vicesindaco
GIACALONE;BOSCO MARENGO;Assessore
PERSANO;BOSIO;Sindaco
RATTI;BOSIO;Vicesindaco
CITRON;BOSIO;Assessore
BALDI;BOZZOLE;Sindaco
COMIN;BOZZOLE;Vicesindaco
BOSIO;BOZZOLE;Assessore
